出表日期,報告年度,公司代號,公司名稱,員工福利平均數(仟元/人)(每年6/2起公開),員工薪資平均數(仟元/人)(每年6/2起公開),非擔任主管職務之全時員工薪資平均數(仟元/人)(每年7/1起公開),非擔任主管之全時員工薪資中位數(仟元/人)(每年7/1起公開),管理職女性主管佔比,職業災害人數及比率-人數,職業災害人數及比率-比率
"1120705","111","6721","信實","570","474","510","508","45.45%","2人","0.07%"
"1120705","111","6727","亞泰金屬","1110","966","830","701","13.33%","0人","0.00%"
"1120705","111","6728","上洋","995","852","811","709","25.00%","1人","0.32%"
"1120705","111","6732","昇佳電子","2642","2367","2352","2116","15.79%","0人","0.00%"
"1120705","111","6733","博晟生醫","1361","1172","704","624","16.67%","0人","0.00%"
"1120705","111","6735","美達科技","1604","1407","1301","1149","28.57%","0人","0.00%"
"1120705","111","6741","91APP*-KY","","","","","47.00%","0人","0.00%"
"1120705","111","6747","亨泰光","976","825","751","612","36.36%","0人","0.00%"
"1120705","111","6751","智聯服務","1252","1106","860","759","46.20%","3人","0.01%"
"1120705","111","6752","叡揚","1100","965","988","849","54.84%","2人","0.27%"
"1120705","111","6761","穩得","1218","1049","878","732","37.50%","0人","0.00%"
"1120705","111","6762","達亞","932","806","695","624","30.00%","1人","0.78%"
"1120705","111","6763","綠界科技","1136","977","864","757","42.86%","0人","0.00%"
"1120705","111","6767","台微醫","934","804","657","562","42.86%","0人","0.00%"
"1120705","111","6788","華景電","1649","1444","1119","1011","5.33%","0人","0.00%"
"1120705","111","6791","虎門科技","1232","1065","850","769","16.67%","0人","0.00%"
"1120705","111","6803","崑鼎","3738","3002","990","889","6.82%","0人","0.00%"
"1120705","111","6804","明係","890","755","656","471","37.50%","0人","0.00%"
"1120705","111","6811","宏碁資訊","1681","1459","1409","1294","49.00%","0人","0.00%"
"1120705","111","6821","聯寶","1267","1097","","","9.09%","0人","0.00%"
"1120705","111","6823","濾能","851","685","713","591","15.70%","0人","0.00%"
"1120705","111","6829","千附精密","855","732","683","625","28.57%","19人","3.70%"
"1120705","111","6840","東研信超","971","841","736","551","23.33%","0人","0.00%"
"1120705","111","6841","長佳智能","1061","909","","","25.00%","0人","0.00%"
"1120705","111","6843","進典","976","837","702","555","6.40%","0人","0.00%"
"1120705","111","6846","綠茵","1223","1064","","","40.91%","0人","0.00%"
"1120705","111","6855","數泓科","1039","909","624","519","28.57%","94人","0.00%"
"1120705","111","6859","伯特光","662","552","572","524","16.67%","0人","0.00%"
"1120705","111","6865","偉康科技","1297","1118","","","20.00%","0人","0.00%"
"1120705","111","6874","倍力","1410","1205","989","808","41.67%","0人","0.00%"
"1120705","111","6877","鏵友益","","","","","26.67%","0人","0.00%"
"1120705","111","7402","邑錡","1397","1206","891","749","20.00%","0人","0.00%"
"1120705","111","7556","意德士科技","1755","1578","956","844","50.00%","0人","0.00%"
"1120705","111","8024","佑華","1458","1275","1174","1120","33.33%","0人","0.00%"
"1120705","111","8027","鈦昇","1180","1023","805","737","10.40%","0人","0.00%"
"1120705","111","8032","光菱","2041","1825","1537","1491","1.00%","0人","0.00%"
"1120705","111","8034","榮群","1147","986","880","734","37.50%","0人","0.00%"
"1120705","111","8038","長園科","805","661","576","521","46.15%","1人","2.70%"
"1120705","111","8040","九暘","2331","2092","1729","1615","20.00%","0人","0.00%"
"1120705","111","8042","金山電","879","714","726","560","28.85%","0人","0.00%"
"1120705","111","8043","蜜望實","1113","963","817","601","27.80%","0人","0.00%"
"1120705","111","8044","網家","760","614","624","520","47.00%","10人","0.53%"
"1120705","111","8047","星雲","973","811","781","673","26.00%","0人","0.00%"
"1120705","111","8048","德勝","1265","1094","809","742","14.29%","0人","0.00%"
"1120705","111","8049","晶采","1139","952","941","726","60.00%","0人","0.00%"
"1120705","111","8050","廣積","1002","887","909","713","11.00%","0人","0.00%"
"1120705","111","8054","安國","1884","1672","1262","1140","29.17%","0人","0.00%"
"1120705","111","8059","凱碩","1525","1347","982","887","22.50%","3人","3.49%"
"1120705","111","8064","東捷","1059","910","909","847","12.00%","0人","0.00%"
"1120705","111","8066","來思達","1457","1283","731","655","42.86%","0人","0.00%"
